"","duration","gross_adjusted","budget_adjusted","gross","budget","cast_facebook_likes","reviews","Metascore","imdbRating","imdbVotes","OscarWon","OtherWin","OscarNom","OtherNom","oldness"
"1960",96,29733195,45416623,22913677,3.5e+07,17292,333,53,6.3,52817,0,0,0,1,15
"1961",123,33684720,71540399,26838389,5.7e+07,12700,685,45,6.4,61489,0,2,0,4,14
"1962",97,230974185,43961739,173381405,3.3e+07,43354,547,64,6.9,171804,0,2,0,7,16
"1963",103,21892418,11770468,14879556,8e+06,3516,616,83,7.3,79050,0,16,1,33,20
"1964",81,3565719,12230,2040920,7000,147,186,73,6.9,55810,0,7,0,4,27
"1965",99,23526213,40876042,17266505,3e+07,22554,472,53,5.4,47004,0,0,0,1,17
"1966",120,99207368,48634921,81593527,4e+07,24300,381,64,7.3,53419,0,2,0,2,13
"1967",105,105704206,37508799,56362352,2e+07,42330,699,74,7.9,391310,0,10,1,21,29
"1968",122,32902137,80921969,22362500,5.5e+07,15275,310,48,6.1,37594,0,1,0,0,20
"1969",82,165192,12550947,131617,1e+07,5761,198,61,6.3,10350,0,3,0,2,14
"1970",113,103737710,184303866,100189501,1.78e+08,12652,1326,71,7.9,500168,0,11,0,37,5
"1971",127,9737743,29771660,5887457,1.8e+07,56585,568,70,7.9,151178,2,23,0,25,25
"1972",140,90574446,67446894,80574010,6e+07,20440,515,50,5.7,71426,0,2,0,2,9
"1973",92,65649956,8992919,58401464,8e+06,16982,526,72,7.1,308138,0,9,0,20,9
"1974",96,20237337,29561023,17114882,2.5e+07,17211,754,82,7.7,204559,0,28,1,70,12
"1975",91,40295144,13460395,38916903,1.3e+07,1921,261,53,5.8,16923,0,2,0,0,5
"1976",118,115114669,91079084,101111837,8e+07,5637,533,43,6.6,160423,0,3,0,8,11
"1977",89,2962741,3996522,2223990,3e+06,539,37,51,6.6,786,0,0,0,0,16
"1978",107,1330226,22482298,1183354,2e+07,1577,213,31,5.1,13656,0,0,0,1,9
"1979",125,46341890,68553210,40559930,6e+07,10623,395,69,6.2,43399,0,0,0,3,10
"1980",89,12858143,53286957,9652000,4e+07,3096,225,50,5.9,49627,0,0,0,2,16
"1981",85,34765188,25311304,26096584,1.9e+07,1653,352,19,3.4,32470,0,1,0,7,16
"1982",109,89261065,36239524,86208010,3.5e+07,16179,503,36,5.6,109681,0,1,0,7,5
"1983",100,1079384,15061137,860002,1.2e+07,1579,81,82,7.3,6848,0,1,0,0,14
"1984",112,6738999,21351916,4734235,1.5e+07,1227,188,40,6,8565,0,0,0,1,19
"1985",95,112915654,73067469,100448498,6.5e+07,23018,592,51,6.6,290543,0,0,0,7,9
"1986",77,14263019,32368788,9694105,2.2e+07,5568,118,44,3.9,8723,0,0,0,1,20
"1987",83,66517446,18504994,46729374,1.3e+07,6454,575,30,5.5,123568,0,0,0,5,19
"1988",118,76844455,27250695,56398162,2e+07,2390,249,63,5.7,29965,0,0,0,1,17
"1989",96,21960008,22775377,15427192,1.6e+07,11078,232,25,5.6,12263,0,0,0,1,19
"1990",99,210710877,14825806,106593296,7500000,12619,195,81,7.4,81725,4,17,0,24,30
"1991",116,45144251,99653529,32616869,7.2e+07,14780,455,29,4.5,36161,0,1,0,10,18
"1992",91,26253116,11770468,17843379,8e+06,1760,206,42,5.7,16085,0,1,0,0,20
"1993",104,11667374,54485883,10706786,5e+07,16481,507,44,5.4,86329,0,1,0,6,8
"1994",100,38199953,16345765,35054909,1.5e+07,34337,1940,78,7.8,483129,0,77,1,170,8
"1995",102,37403493,45539542,32853640,4e+07,3239,247,41,5.7,53323,0,1,0,2,11
"1996",104,94891783,19335922,31899000,6500000,2442,322,74,7.1,27424,0,0,0,9,39
"1997",130,125646297,85111111,103338338,7e+07,2856,744,76,6.5,60950,2,66,0,91,13
"1998",98,41042963,40163031,32701088,3.2e+07,1400,183,59,6.9,10764,0,1,0,5,14
"1999",136,44874635,90587826,33685268,6.8e+07,12194,837,35,5.5,81221,0,0,0,5,16
"2000",84,23192940,59934471,21283440,5.5e+07,8018,311,35,6,55849,0,0,0,2,8
"2001",104,40962979,81752084,30063805,6e+07,2109,360,25,6.1,33513,0,0,0,1,17
"2002",100,10686958,51414907,9353573,4.5e+07,1100,654,45,2.6,61963,0,0,0,1,10
